volantino,insegna,categoria,prodotto,formato,quantita,unita,prezzo,prezzo_unita,dal,al,note
md,MD,Lavatrice,24 Fresh Caps 3 in 1 per lavatrice – Actiff,24 capsule,24,a lavaggio,4.29,0.179,2026-08-25,2026-09-06,"Prima 4,89."
md,MD,Lavatrice,24 capsule per lavatrice bouquet floreale – DAT5,24 capsule,24,a lavaggio,4.29,0.179,2026-08-25,2026-09-06,"Prima 4,99."
md,MD,Mozzarella,Mozzarelle in busta – Reggia,1 kg (8 × 125 g),1,al kg,4.49,4.490,2026-08-25,2026-09-06,"Prima 5,49."
md,MD,Pasta,Pasta fresca orecchiette o trofie – Ca' Bianca,1 kg,1,al kg,1.29,1.290,2026-08-25,2026-09-06,"Prima 1,99."
md,MD,Pasta,Pasta sfoglia rettangolare,550 g (2 × 275 g),0.55,al kg,1.69,3.073,2026-08-25,2026-09-06,"Prima 2,69."
md,MD,Preparati,10 hamburger di bovino – Le Specialità di Beppe,750 g,0.75,al kg,4.99,6.653,2026-08-25,2026-09-06,"Surgelato. Il volantino stampa 6,65 al kg."
md,MD,Preparati,Nuggets di pollo – Tyson,1 kg,1,al kg,6.49,6.490,2026-08-25,2026-09-06,"Surgelato. Prima 7,99."
md,MD,Salmone affumicato,Salmone affumicato,200 g,0.2,al kg,3.99,19.950,2026-08-25,2026-09-06,"Prima 5,49. Il volantino stampa 19,95 al kg."
md,MD,Tonno,Tonno all'olio d'oliva – Poseidon,840 g (12 × 70 g),0.84,al kg,7.79,9.274,2026-08-25,2026-09-06,"Prima 9,49. Confezione grande."
bennet,Bennet,Calamari,Anelli di totano gigante del Pacifico decongelati,al kg,1,al kg,10.90,10.900,2026-08-27,2026-09-09,Sottocosto Freschi.
bennet,Bennet,Calamari,Seppia pulita,al kg,1,al kg,19.90,19.900,2026-08-27,2026-09-09,Sottocosto Freschi.
bennet,Bennet,Cioccolato,KitKat – Nestlé,124 g (conf. da 3),0.124,al kg,2.29,18.468,2026-08-27,2026-09-09,"−30%, prima 3,28."
bennet,Bennet,Cioccolato,Tavoletta cioccolato nero fondente extra – Perugina,85 g,0.085,al kg,1.98,23.294,2026-08-27,2026-09-09,"−25%, prima 2,65. Tavoletta vera, non crema."
bennet,Bennet,Gamberi,Gambero argentino decongelato 10/20 pezzi al kg,al kg,1,al kg,14.90,14.900,2026-08-27,2026-09-09,Sottocosto Freschi.
bennet,Bennet,Gamberi,Mazzancolle tropicali precotte 30/50,1 kg,1,al kg,11.90,11.900,2026-08-27,2026-09-09,Sottocosto Freschi. L'offerta pescheria non vale in tutti i punti vendita.
bennet,Bennet,Gelato,Cornetto Classico – Algida,480 g (8 pezzi),0.48,al kg,2.99,6.229,2026-08-27,2026-09-09,"−58%, prima 7,14. Solo con la tessera Bennet Club."
bennet,Bennet,Gelato,Gelato Kinder Bueno o Nutella – Ferrero,230 g,0.23,al kg,3.49,15.174,2026-08-27,2026-09-09,"−30%, prima 4,99. Il volantino stampa 15,17 al kg."
bennet,Bennet,Gelato,Gelato Soft vaniglia e cacao o caramello – Algida,440 g,0.44,al kg,1.99,4.523,2026-08-27,2026-09-09,"Vaschetta. −33%, prima 2,98."
bennet,Bennet,Gelato,Gelato gusti vari – Bennet,500 g,0.5,al kg,2.39,4.780,2026-08-27,2026-09-09,"−20%, prima 2,99. Il volantino stampa 4,78 al kg."
bennet,Bennet,Gelato,"Ghiaccioli assortiti, 10 pezzi – Bennet",700 g,0.7,al kg,1.99,2.843,2026-08-27,2026-09-09,"−23%, prima 2,59. Il volantino stampa 2,84 al kg."
bennet,Bennet,Gelato,Mini Gruvi tipi vari – Sammontana,225 g (6 pezzi),0.225,al kg,3.39,15.067,2026-08-27,2026-09-09,"−40%, prima 5,66. Solo con la tessera Bennet Club."
bennet,Bennet,Gelato,Solero tipi vari – Algida,204 g (3 pezzi),0.204,al kg,2.15,10.539,2026-08-27,2026-09-09,"−46%, prima 3,99."
bennet,Bennet,Gelato,"Stecchi croccanti, 4 pezzi – Bennet",260 g,0.26,al kg,3.19,12.269,2026-08-27,2026-09-09,"−20%, prima 3,99. Il volantino stampa 12,27 al kg."
bennet,Bennet,Gelato,"Stecco Mini Magnum, 6 pezzi",254 g,0.254,al kg,3.49,13.740,2026-08-27,2026-09-09,"−30%, prima 4,99. Il volantino stampa 13,74 al kg."
bennet,Bennet,Grana,Cuor di Forma Grana Padano DOP oltre 16 mesi – Ferrari,150 g,0.15,al kg,2.99,19.933,2026-08-27,2026-09-09,"Il volantino stampa 19,93 al kg."
bennet,Bennet,Grana,Parmigiano Reggiano – Bennet,500 g,0.5,al kg,12.87,25.740,2026-08-27,2026-09-09,−19% con la tessera Bennet Club.
bennet,Bennet,Manzo,Fettine di bovino adulto,al kg,1,al kg,13.99,13.990,2026-08-27,2026-09-09,Sottocosto Freschi.
bennet,Bennet,Merluzzo,14 bocconcini di merluzzo d'Alaska – Frosta,280 g,0.28,al kg,3.75,13.393,2026-08-27,2026-09-09,"−20%, prima 4,69. Impanati. Il volantino stampa 13,39 al kg."
bennet,Bennet,Merluzzo,Cuore filetto di merluzzo nordico decongelato,al kg,1,al kg,27.90,27.900,2026-08-27,2026-09-09,"Sottocosto Freschi, banco pescheria. È il filetto fresco: costa il doppio dei surgelati, ma è un'altra cosa."
bennet,Bennet,Merluzzo,Fior di merluzzo d'Alaska – Findus,500 g,0.5,al kg,7.99,15.980,2026-08-27,2026-09-09,"−50% con la tessera Bennet Club, prima 15,98. È filetto, non impanato."
bennet,Bennet,Mozzarella,Bocconcini di mozzarella di bufala campana DOP – Mandara,200 g,0.2,al kg,3.49,17.450,2026-08-27,2026-09-09,"Il volantino stampa 17,45 al kg."
bennet,Bennet,Mozzarella,Mozzarella a julienne – Bayernland,200 g,0.2,al kg,2.98,14.900,2026-08-27,2026-09-09,"Senza lattosio, già a filetti. Il volantino stampa 14,90 al kg."
bennet,Bennet,Olio d'oliva,Olio extravergine di oliva grezzo Il Casolare – Farchioni,1 litro,1,al litro,7.99,7.990,2026-08-27,2026-09-09,"−33%, prima 11,93."
bennet,Bennet,Panati,Fritto misto di pesce – Specamare,450 g,0.45,al kg,4.79,10.644,2026-08-27,2026-09-09,"−20%, prima 5,99. Il volantino stampa 10,64 al kg."
bennet,Bennet,Panati,I Gratinati tipi vari – Capitan Findus,380 g,0.38,al kg,3.59,9.447,2026-08-27,2026-09-09,"−40%, prima 5,99. Solo con la tessera Bennet Club."
bennet,Bennet,Pancetta,Pancetta dolce o affumicata a cubetti – Fratelli Beretta,300 g (4 × 75 g),0.3,al kg,3.98,13.267,2026-08-27,2026-09-09,"−30%, prima 5,69."
bennet,Bennet,Pane,"Focaccelle all'olio extravergine d'oliva, 6 pezzi – Mulino Bianco",198 g,0.198,al kg,1.99,10.051,2026-08-27,2026-09-09,"Il volantino stampa 10,05 al kg."
bennet,Bennet,Pasta,Gnocchetti freschi – Patamore,500 g,0.5,al kg,1.78,3.560,2026-08-27,2026-09-09,"−40%, prima 2,98."
bennet,Bennet,Pasta,Lasagne alla bolognese o cannelloni ricotta e spinaci – Bennet,500 g,0.5,al kg,2.99,5.980,2026-08-27,2026-09-09,"Surgelate. −25%, prima 3,99. Il volantino stampa 5,98 al kg."
bennet,Bennet,Pasta,Pasta fresca all'uovo – Bennet,250 g,0.25,al kg,0.96,3.840,2026-08-27,2026-09-09,−35% con la tessera Bennet Club.
bennet,Bennet,Pasta,Pasta fresca ripiena Sfogliagrezza – Giovanni Rana,250 g,0.25,al kg,2.59,10.360,2026-08-27,2026-09-09,"−35%, prima 3,99."
bennet,Bennet,Patate,Patatine We Love croccanti – Pizzoli,750 g,0.75,al kg,1.59,2.120,2026-08-27,2026-09-09,"−36%, prima 2,49. Il volantino stampa 2,12 al kg."
bennet,Bennet,Pesce,Branzino Filiera Valore Bennet,al kg,1,al kg,13.90,13.900,2026-08-27,2026-09-09,Sottocosto Freschi.
bennet,Bennet,Pesce,Filetto di pesce spada decongelato marinato,al kg,1,al kg,19.90,19.900,2026-08-27,2026-09-09,Sottocosto Freschi.
bennet,Bennet,Pesce,Polpo arricciato,al kg,1,al kg,22.90,22.900,2026-08-27,2026-09-09,Sottocosto Freschi.
bennet,Bennet,Pesce,Tranci di pesce spada – Noriberica,450 g,0.45,al kg,6.99,15.533,2026-08-27,2026-09-09,"Il volantino stampa 15,53 al kg."
bennet,Bennet,Pesce,Vongola o lupino,al kg,1,al kg,7.90,7.900,2026-08-27,2026-09-09,Sottocosto Freschi. L'offerta pescheria non vale in tutti i punti vendita.
bennet,Bennet,Pizza,Mini pizzette margherita – Italpizza,360 g (4 × 90 g),0.36,al kg,3.19,8.861,2026-08-27,2026-09-09,"−20%, prima 3,99."
bennet,Bennet,Pizza,Pizza tipi vari – Bennet,370 g,0.37,al kg,2.79,7.541,2026-08-27,2026-09-09,"−20%, prima 3,49. Solo con la tessera Bennet Club."
bennet,Bennet,Pollo,Ortaiola con spinaci – Amadori,300 g,0.3,al kg,2.47,8.233,2026-08-27,2026-09-09,"Surgelata. −33%, prima 3,69."
bennet,Bennet,Preparati,4 hamburger di carne bovina con bacon – Montana,400 g,0.4,al kg,4.79,11.975,2026-08-27,2026-09-09,"Surgelato, −20%, prima 5,99."
bennet,Bennet,Prosciutto,Prosciutto crudo o cotto di alta qualità – Citterio,240 g (3 × 80 g),0.24,al kg,4.99,20.792,2026-08-27,2026-09-09,"−50% con la tessera Bennet Club, prima 9,99."
bennet,Bennet,Ricotta,Mascarpone – Granarolo,500 g,0.5,al kg,3.58,7.160,2026-08-27,2026-09-09,"−40%, prima 5,97."
bennet,Bennet,Salmone,Cuori di filetti di salmone selvaggio – Buon Vento,250 g,0.25,al kg,4.99,19.960,2026-08-27,2026-09-09,"Il volantino stampa 19,96 al kg."
bennet,Bennet,Salmone,Filetto di salmone,al kg,1,al kg,17.69,17.690,2026-08-27,2026-09-09,Sottocosto in copertina. Non valido nel Bennet di Alessandria.
bennet,Bennet,Sughi,Sugo allo scoglio classico – Bennet,450 g,0.45,al kg,3.99,8.867,2026-08-27,2026-09-09,"Surgelato. −20%, prima 4,99. Il volantino stampa 8,87 al kg."
bennet,Bennet,Tonno,Filetti di tonno – Rio Mare,250 g,0.25,al kg,4.99,19.960,2026-08-27,2026-09-09,"−40%, prima 8,32."
bennet,Bennet,Tonno,Tonno all'olio di oliva – Flotta Azzurra,840 g (12 × 70 g),0.84,al kg,7.48,8.905,2026-08-27,2026-09-09,"−30%, prima 10,69. Confezione grande."
bennet,Bennet,Tonno,Tonno in olio – Consorcio,175 g,0.175,al kg,3.99,22.800,2026-08-27,2026-09-09,"−50%, ma solo con la tessera Bennet Club."
bennet,Bennet,Uova,10 uova fresche medie da allevamento a terra – Ovonovo,10 uova,10,all'uovo,2.99,0.299,2026-08-27,2026-09-09,"−25%, prima 3,99. È l'unica offerta sulle uova che ho trovato."
bennet,Bennet,Verdure surgelate,8 tortini di verdure – Frosta,240 g,0.24,al kg,1.79,7.458,2026-08-27,2026-09-09,"−28%, prima 2,49."
bennet,Bennet,Verdure surgelate,Contorno colorato – Bennet,400 g,0.4,al kg,1.99,4.975,2026-08-27,2026-09-09,"−26%, prima 2,69. Solo con la tessera Bennet Club."
bennet,Bennet,Verdure surgelate,Minestrone Leggerezza – Orogel,750 g,0.75,al kg,1.99,2.653,2026-08-27,2026-09-09,"−33%, prima 2,98."
bennet,Bennet,Verdure surgelate,Pisellini Primavera – Findus,700 g,0.7,al kg,3.99,5.700,2026-08-27,2026-09-09,"−20%, prima 4,99. Il volantino stampa 5,70 al kg."
bennet,Bennet,Verdure surgelate,Zucchine grigliate – Bennet,450 g,0.45,al kg,2.39,5.311,2026-08-27,2026-09-09,"−20%, prima 2,99."
bennet,Bennet,Yogurt,Kefir – Milk,150 g,0.15,al kg,0.83,5.533,2026-08-27,2026-09-09,"−30%, prima 1,19."
bennet,Bennet,Yogurt,Yogurt Super Mario tipi vari – Danone,220 g,0.22,al kg,1.79,8.136,2026-08-27,2026-09-09,"Il volantino stampa 8,14 al kg."
bennet,Bennet,Yogurt,Yogurt intero bianco – Sterzing Vipiteno,1 kg (125 g × 8),1,al kg,3.59,3.590,2026-08-27,2026-09-09,
ipercoop_extra,Ipercoop,Biscotti,Biscotti Oro Ciok – Saiwa,250 g,0.25,al kg,1.79,7.160,2026-08-27,2026-09-09,"−40%, prima 2,99."
ipercoop_extra,Ipercoop,Biscotti,Millefoglie d'Italia – Vicenzi,125 g,0.125,al kg,0.93,7.440,2026-08-27,2026-09-09,"−25%, prima 1,25."
ipercoop_extra,Ipercoop,Biscotti,Pavesini – Pavesi,200 g,0.2,al kg,1.54,7.700,2026-08-27,2026-09-09,"−40%, prima 2,57."
ipercoop_extra,Ipercoop,Burro,Burro – gli Spesotti,250 g,0.25,al kg,1.85,7.400,2026-08-27,2026-09-09,"Prezzo di tutti i giorni, non un'offerta a tempo. Il volantino stampa 7,40 al kg."
ipercoop_extra,Ipercoop,Caffè,Caffè macinato per moka classico – Illy,250 g,0.25,al kg,5.69,22.760,2026-08-27,2026-09-09,Etichetta «Conviene».
ipercoop_extra,Ipercoop,Caffè,Caffè solubile Gold – Nescafé,100 g,0.1,al kg,5.49,54.900,2026-08-27,2026-09-09,"PREZZO SOCI. È solubile, non macinato."
ipercoop_extra,Ipercoop,Caffè,Capsule compatibili Nespresso – Starbucks,57 g,0.057,al kg,2.99,52.456,2026-08-27,2026-09-09,Capsule.
ipercoop_extra,Ipercoop,Calamari,Anelli di totano – Pescanova,400 g,0.4,al kg,5.49,13.725,2026-08-27,2026-09-09,Surgelati. PREZZO SOCI Coop.
ipercoop_extra,Ipercoop,Cioccolato,Mini Tower Movie Night – Ritter Sport,150 g,0.15,al kg,2.89,19.267,2026-08-27,2026-09-09,PREZZO SOCI.
ipercoop_extra,Ipercoop,Gelato,Coppa del Nonno,390 g (6 pezzi),0.39,al kg,3.69,9.462,2026-08-27,2026-09-09,Etichetta «Conviene».
ipercoop_extra,Ipercoop,Gelato,Cucciolone – Algida,480 g (6 pezzi),0.48,al kg,4.39,9.146,2026-08-27,2026-09-09,PREZZO SOCI Coop.
ipercoop_extra,Ipercoop,Gelato,Gelato Soft vaniglia e cacao o caramello – Algida,440 g,0.44,al kg,1.99,4.523,2026-08-27,2026-09-09,Vaschetta. PREZZO SOCI Coop.
ipercoop_extra,Ipercoop,Gelato,Gelato allo yogurt greco – Kri Kri,320 g,0.32,al kg,1.99,6.219,2026-08-27,2026-09-09,Etichetta «Conviene».
ipercoop_extra,Ipercoop,Gelato,Mini Gruvi assortiti – Sammontana,225 g (6 pezzi),0.225,al kg,3.29,14.622,2026-08-27,2026-09-09,"Sconto 40%, prima 5,49."
ipercoop_extra,Ipercoop,Gelato,Nuii caramello salato e noci di Macadamia,272 g (4 pezzi),0.272,al kg,3.79,13.934,2026-08-27,2026-09-09,Etichetta «Conviene».
ipercoop_extra,Ipercoop,Manzo,Carne salada del Trentino per carpaccio,100 g,0.1,al kg,3.36,33.600,2026-08-27,2026-09-09,"PREZZO SOCI (−25%). Senza tessera 4,49, cioè 44,90 al kg."
ipercoop_extra,Ipercoop,Manzo,Fettine di reale di bovino adulto – Fattorie Natura,al kg,1,al kg,16.38,16.380,2026-08-27,2026-09-09,Etichetta «Conviene».
ipercoop_extra,Ipercoop,Manzo,Macinato di bovino – Fattorie Natura,800 g,0.8,al kg,9.90,12.375,2026-08-27,2026-09-09,"PREZZO SOCI (−20%). Senza tessera 12,38, cioè 15,48 al kg."
ipercoop_extra,Ipercoop,Marmellata,Confetture Fiordifrutta – Rigoni di Asiago,330 g,0.33,al kg,3.45,10.455,2026-08-27,2026-09-09,"PREZZO SOCI. Bio, 100% da frutta."
ipercoop_extra,Ipercoop,Merluzzo,Filetti di merluzzo – Capitan Findus,360 g,0.36,al kg,5.99,16.639,2026-08-27,2026-09-09,"Etichetta «Conviene». È filetto. Il volantino stampa 16,64 al kg."
ipercoop_extra,Ipercoop,Merluzzo,Gratinati di merluzzo gusti vari – Capitan Findus,380 g,0.38,al kg,2.99,7.868,2026-08-27,2026-09-09,"Sono gratinati impanati, non filetto. Il volantino stampa 7,87 al kg."
ipercoop_extra,Ipercoop,Patate,Patatine Golden Long – McCain,750 g,0.75,al kg,1.79,2.387,2026-08-27,2026-09-09,Surgelate. Etichetta «Conviene».
ipercoop_extra,Ipercoop,Pesce,"Fiori Special branzino, orata, salmone o tonno – Capitan Findus",200 g (2 pezzi),0.2,al kg,6.99,34.950,2026-08-27,2026-09-09,"Etichetta «Conviene». Il volantino stampa 34,95 al kg."
ipercoop_extra,Ipercoop,Pesce,Polpo intero – Pescanova,1 kg,1,al kg,11.90,11.900,2026-08-27,2026-09-09,SOLO PER I SOCI.
ipercoop_extra,Ipercoop,Pizza,Pizza margherita – gli Spesotti,885 g (3 pizze),0.885,al kg,3.55,4.011,2026-08-27,2026-09-09,"Prezzo di tutti i giorni, non un'offerta a tempo. Il volantino stampa 4,01 al kg."
ipercoop_extra,Ipercoop,Pollo,Alette arrosto di pollo – Origine Coop,450 g,0.45,al kg,2.19,4.867,2026-08-27,2026-09-09,Da polli allevati senza antibiotici.
ipercoop_extra,Ipercoop,Pollo,Bastoncini di pollo Carletto – Findus,200 g,0.2,al kg,1.99,9.950,2026-08-27,2026-09-09,"SOLO PER I SOCI. Il volantino stampa 9,95 al kg."
ipercoop_extra,Ipercoop,Pollo,Sottilissime di petto di pollo – AIA,al kg,1,al kg,12.54,12.540,2026-08-27,2026-09-09,"−30%, prima 17,92."
ipercoop_extra,Ipercoop,Pollo,Tagliata di petto di pollo SQ,400 g,0.4,al kg,3.73,9.325,2026-08-27,2026-09-09,"PREZZO SOCI (−25%). Senza tessera 4,98, cioè 12,45 al kg."
ipercoop_extra,Ipercoop,Preparati,La Viennese cotoletta di pollo – AIA,300 g,0.3,al kg,3.99,13.300,2026-08-27,2026-09-09,Etichetta «Conviene».
ipercoop_extra,Ipercoop,Preparati,Polpettone Buona Domenica – Amadori,700 g,0.7,al kg,7.43,10.614,2026-08-27,2026-09-09,"PREZZO SOCI (−40%). Senza tessera 9,91, cioè 14,16 al kg."
ipercoop_extra,Ipercoop,Prosciutto,Prosciutto crudo stagionato – gli Spesotti,100 g,0.1,al kg,1.70,17.000,2026-08-27,2026-09-09,"Prezzo di tutti i giorni, non un'offerta a tempo."
ipercoop_extra,Ipercoop,Salmone affumicato,Sashimi di salmone affumicato – Gimar,140 g,0.14,al kg,6.67,47.643,2026-08-27,2026-09-09,"PREZZO SOCI (−25%). Senza tessera 8,90, cioè 63,58 al kg."
ipercoop_extra,Ipercoop,Verdure surgelate,Contorni ricette varie – La Valle degli Orti Frosta,400 g,0.4,al kg,1.99,4.975,2026-08-27,2026-09-09,PREZZO SOCI Coop.
ipercoop,Ipercoop,Ammorbidente,Ammorbidente concentrato – Coccolino,"87 lavaggi (1,827 l)",87,a lavaggio,3.19,0.037,2026-08-31,2026-09-09,"Sottocosto −54%, prima 6,99. È ammorbidente, non detersivo: si usa in aggiunta."
ipercoop,Ipercoop,Biscotti,Gocciole Chocolate – Pavesi,500 g,0.5,al kg,1.59,3.180,2026-08-31,2026-09-09,"Sottocosto −46%, prima 2,99. Max 6 confezioni."
ipercoop,Ipercoop,Biscotti,Pan Gocciogli – Mulino Bianco,336 g (8 pezzi),0.336,al kg,1.59,4.732,2026-08-31,2026-09-09,"Sottocosto −44%, prima 2,89."
ipercoop,Ipercoop,Caffè,Caffè macinato Crema e Gusto – Lavazza,1 kg (4 × 250 g),1,al kg,9.90,9.900,2026-08-31,2026-09-09,"Sottocosto −50%, prima 19,90. Max 3 confezioni."
ipercoop,Ipercoop,Carta igienica,Carta igienica Scottonelle – Scottex,18 rotoli,18,al rotolo,4.99,0.277,2026-08-31,2026-09-09,"Sottocosto −50%, prima 9,98. Max 3 confezioni."
ipercoop,Ipercoop,Cioccolato,Nutella – Ferrero,750 g,0.75,al kg,4.99,6.653,2026-08-31,2026-09-09,"Sottocosto −25%, prima 6,68. Crema da spalmare."
ipercoop,Ipercoop,Formaggio,Sottilette Classiche,400 g,0.4,al kg,1.89,4.725,2026-08-31,2026-09-09,"Sottocosto −43%, prima 3,34."
ipercoop,Ipercoop,Grana,Grana Padano DOP 16 mesi – GranTerre,700 g,0.7,al kg,7.99,11.414,2026-08-31,2026-09-09,"Sottocosto −42%, prima 13,90. Max 3 confezioni."
ipercoop,Ipercoop,Latte,Latte UHT parzialmente scremato – Granarolo,4 litri (4 × 1 l),4,al litro,3.99,0.998,2026-08-31,2026-09-09,"Sottocosto −49%, prima 7,96. Max 6 confezioni."
ipercoop,Ipercoop,Lavastoviglie,Detersivo per lavastoviglie Platinum Plus – Fairy,71 capsule,71,a lavaggio,10.90,0.154,2026-08-31,2026-09-09,"Sottocosto −50%, prima 21,80. È per la lavastoviglie."
ipercoop,Ipercoop,Lavatrice,Detersivo liquido per lavatrice Base – Dash,75 lavaggi (3 × 25),75,a lavaggio,10.90,0.145,2026-08-31,2026-09-09,"Sottocosto −50%, prima 21,80."
ipercoop,Ipercoop,Lavatrice,Detersivo per lavatrice in polvere Power – Dash+,"105 misurini (5,25 kg)",105,a lavaggio,14.90,0.142,2026-08-31,2026-09-09,"Sottocosto −50%, prima 29,80. Max 2 confezioni."
ipercoop,Ipercoop,Mozzarella,Mozzarella Santa Lucia – Galbani,375 g (3 × 125 g),0.375,al kg,2.09,5.573,2026-08-31,2026-09-09,"Sottocosto −52%, prima 4,40."
ipercoop,Ipercoop,Olio d'oliva,Olio extravergine di oliva Classico – Monini,1 litro,1,al litro,4.59,4.590,2026-08-31,2026-09-09,"Sottocosto −51%, prima 9,49. Max 4 confezioni."
ipercoop,Ipercoop,Pasta,Pasta di semola formati classici – Barilla,500 g,0.5,al kg,0.48,0.960,2026-08-31,2026-09-09,"Sottocosto −50%, prima 0,97. Max 20 confezioni."
ipercoop,Ipercoop,Pasta,Pasta fresca ripiena Antica Bottega – Fini,250 g,0.25,al kg,1.79,7.160,2026-08-31,2026-09-09,"Sottocosto −51%, prima 3,69."
ipercoop,Ipercoop,Prosciutto,Prosciutto cotto Alta Qualità – Beretta,240 g (2 × 120 g),0.24,al kg,3.29,13.708,2026-08-31,2026-09-09,"Sottocosto −52%, prima 6,98."
ipercoop,Ipercoop,Salame,Salame Negronetto – Negroni,220 g,0.22,al kg,3.48,15.818,2026-08-31,2026-09-09,"Sottocosto −38%, prima 5,69."
ipercoop,Ipercoop,Salmone affumicato,Salmone scozzese affumicato – Icelander,100 g,0.1,al kg,1.99,19.900,2026-08-31,2026-09-09,"Sottocosto −50%, prima 3,98. Max 6 confezioni."
ipercoop,Ipercoop,Spalmabili,Philadelphia formaggio fresco,350 g,0.35,al kg,2.19,6.257,2026-08-31,2026-09-09,"Sottocosto −39%, prima 3,64."
ipercoop,Ipercoop,Tonno,Tonno Yellowfin in olio di oliva – Rio Mare,780 g (12 × 65 g),0.78,al kg,10.89,13.962,2026-08-31,2026-09-09,"Sottocosto −30%, prima 15,57. Stesso pacco del Lidl, ma più caro."
ipercoop,Ipercoop,Yogurt,Yogurt intero gusti vari – Müller,1 kg (8 × 125 g),1,al kg,1.99,1.990,2026-08-31,2026-09-09,"Sottocosto −55%, prima 4,49. Max 6 confezioni."
bennet0903,Bennet,Acqua,Acqua frizzante o leggermente frizzante Fonte Alpina – Bennet,"9 litri (6 × 1,5 l)",9,al litro,2.16,0.240,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (1,08) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Acqua,Acqua frizzante – Bennet,3 litri (6 × 500 ml),3,al litro,1.45,0.483,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (0,73) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Acqua,Acqua naturale Ecogreen – San Benedetto,12 litri (6 × 2 l),12,al litro,2.34,0.195,2026-09-03,2026-09-16,"−35% SOLO CON LA CARTA BENNET CLUB, prima 3,60."
bennet0903,Bennet,Acqua,Acqua naturale La Baby – Sant'Anna,"1,5 litri (6 × 250 ml)",1.5,al litro,1.99,1.327,2026-09-03,2026-09-16,"−20%, prima 2,49. Sono bottigliette piccole."
bennet0903,Bennet,Affettati,Petto di tacchino o di pollo al forno – Filiera Valore Bennet,100 g,0.1,al kg,3.19,31.900,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 3,99. E gia cotto, e la confezione puo essere di pollo."
bennet0903,Bennet,Asciugatutto,Asciugatutto 2 veli – Bennet,6 rotoli,6,al rotolo,4.49,0.748,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (2,25) da spendere dal 17 al 30 settembre."
